[76/756] 2022-04-12T02:40:00  total_mb=5489  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1626.9ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1582.4ms
[77/756] 2022-04-12T03:20:00  total_mb=5492  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1766.8ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1662.3ms
[78/756] 2022-04-12T04:00:00  total_mb=5497  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1667.1ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1859.0ms
[79/756] 2022-04-12T04:40:00  total_mb=5450  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1575.9ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1723.5ms
[80/756] 2022-04-12T05:20:00  total_mb=5480  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1765.6ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1639.5ms
[81/756] 2022-04-12T06:00:00  total_mb=5484  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1594.4ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1877.2ms
[82/756] 2022-04-12T06:40:00  total_mb=5504  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1630.5ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1655.2ms
[83/756] 2022-04-12T07:20:00  total_mb=5582  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1913.3ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1859.6ms
[84/756] 2022-04-12T08:00:00  total_mb=5596  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=2119.2ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1771.6ms
[85/756] 2022-04-12T08:40:00  total_mb=5625  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1741.0ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1885.0ms
[86/756] 2022-04-12T09:20:00  total_mb=5910  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1804.1ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1872.7ms
[87/756] 2022-04-12T10:00:00  total_mb=5969  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1911.3ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1757.2ms
[88/756] 2022-04-12T10:40:00  total_mb=5981  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1850.8ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1823.4ms
[89/756] 2022-04-12T11:20:00  total_mb=6009  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1712.6ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1862.0ms
[90/756] 2022-04-12T12:00:00  total_mb=6156  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1790.4ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1790.2ms
[91/756] 2022-04-12T12:40:00  total_mb=6269  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1957.8ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1974.4ms
[92/756] 2022-04-12T13:20:00  total_mb=6288  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1908.8ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1839.4ms
[93/756] 2022-04-12T14:00:00  total_mb=6295  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1773.6ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1899.2ms
[94/756] 2022-04-12T14:40:00  total_mb=6439  pods=2
  Error on attempt 1/10 for pod target-app-57f655b559-svnq4: kubectl exec failed: command terminated with exit code 137
, retrying in 3s …
  Error on attempt 2/10 for pod target-app-57f655b559-svnq4: kubectl exec failed: command terminated with exit code 137
, retrying in 3s …
